industry,model,order,seasonal_order,AIC,BIC,LLF
A,ARIMA,"(2, 1, 0)","(0, 0, 0, 0)",121.28668023609956,121.6044464028189,
A,SARIMA,"(2, 1, 0)","(0, 0, 0, 0)",121.28668023609956,121.6044464028189,
A,SARIMAX,"(2, 1, 0)","(0, 0, 0, 0)",121.28668023609956,121.6044464028189,
B,ARIMA,"(0, 2, 0)","(0, 0, 0, 0)",106.13998609571686,106.08589624477217,
B,SARIMA,"(1, 2, 0)","(0, 0, 0, 0)",105.85920400311338,105.751024301224,
B,SARIMAX,"(1, 2, 0)","(0, 0, 0, 0)",105.85920400311338,105.751024301224,
C,ARIMA,"(0, 2, 0)","(0, 0, 0, 0)",68.56113739574268,68.50704754479798,
C,SARIMA,"(0, 2, 0)","(0, 0, 0, 0)",68.56113739574268,68.50704754479798,
C,SARIMAX,"(0, 2, 0)","(0, 0, 0, 0)",68.56113739574268,68.50704754479798,
D,ARIMA,"(0, 1, 0)","(0, 0, 0, 0)",122.19621819668961,122.27565973836946,
D,SARIMA,"(0, 1, 0)","(0, 0, 0, 0)",122.19621819668961,122.27565973836946,
D,SARIMAX,"(0, 1, 0)","(0, 0, 0, 0)",122.19621819668961,122.27565973836946,
E,ARIMA,"(0, 0, 0)","(0, 0, 0, 0)",92.25066387368001,92.64511302835245,
E,SARIMA,"(0, 0, 0)","(0, 0, 0, 0)",92.25066387368001,92.64511302835245,
E,SARIMAX,"(0, 0, 0)","(0, 0, 0, 0)",92.25066387368001,92.64511302835245,
F,ARIMA,"(0, 2, 0)","(0, 0, 0, 0)",63.6951530069169,63.64106315597221,
F,SARIMA,"(0, 2, 0)","(0, 0, 0, 0)",63.6951530069169,63.64106315597221,
F,SARIMAX,"(0, 2, 0)","(0, 0, 0, 0)",63.6951530069169,63.64106315597221,
G,ARIMA,"(0, 1, 0)","(0, 0, 0, 0)",84.77578062157866,84.8552221632585,
G,SARIMA,"(0, 1, 0)","(0, 0, 0, 0)",84.77578062157866,84.8552221632585,
G,SARIMAX,"(0, 1, 0)","(0, 0, 0, 0)",84.77578062157866,84.8552221632585,
