industry,model,split,MSE,RMSE,MAE,MAPE,SMAPE,MSRE,R2
A,arima,train,1278079.123274204,1130.5216155714159,1091.1218202828918,982.848480250717,123.50899492664267,421.21018137756533,-6.321791699173923
A,arima,validation,,,,,,,
A,arima,test,1199655.1455648364,1095.2876999057537,1076.48553160382,1074.3644791250936,166.2876810509709,125.76985673152006,-2561.1491006368124
A,sarima,train,1278079.123274204,1130.5216155714159,1091.1218202828918,982.848480250717,123.50899492664267,421.21018137756533,-6.321791699173923
A,sarima,validation,,,,,,,
A,sarima,test,1199655.1455648364,1095.2876999057537,1076.48553160382,1074.3644791250936,166.2876810509709,125.76985673152006,-2561.1491006368124
A,sarimax,train,1278079.123274204,1130.5216155714159,1091.1218202828918,982.848480250717,123.50899492664267,421.21018137756533,-6.321791699173923
A,sarimax,validation,,,,,,,
A,sarimax,test,1199655.1455648364,1095.2876999057537,1076.48553160382,1074.3644791250936,166.2876810509709,125.76985673152006,-2561.1491006368124
B,arima,train,1250311.5000000005,1118.1732871071463,981.0000000000002,561.2570911675834,186.48123224166295,79.12524823221572,-21.48247253576071
B,arima,validation,,,,,,,
B,arima,test,248621.5833333335,498.619678044633,461.8333333333335,1019.3507118834916,200.0,242.8207187210621,-12.301278355050417
B,sarima,train,3405634.716011494,1845.4361858410314,1645.453201203493,987.2803955934178,192.26445871770613,253.53509004088394,-60.23841056373681
B,sarima,validation,,,,,,,
B,sarima,test,649877.8894948083,806.1500415523207,759.8315178351617,2013.7967631409606,200.0,1000.7568419874871,-33.76852889869029
B,sarimax,train,3405634.716011494,1845.4361858410314,1645.453201203493,987.2803955934178,192.26445871770613,253.53509004088394,-60.23841056373681
B,sarimax,validation,,,,,,,
B,sarimax,test,649877.8894948083,806.1500415523207,759.8315178351617,2013.7967631409606,200.0,1000.7568419874871,-33.76852889869029
C,arima,train,82783.1388888887,287.72059170120014,280.3888888888886,2876.751855800815,179.31860780621614,3560.231867899586,-46.120986981957344
C,arima,validation,,,,,,,
C,arima,test,6098.000000000011,78.08969202141861,78.00000000000007,64.40735908772439,48.475969981734494,0.6882369857651841,0.4289757209074866
C,sarima,train,82783.1388888887,287.72059170120014,280.3888888888886,2876.751855800815,179.31860780621614,3560.231867899586,-46.120986981957344
C,sarima,validation,,,,,,,
C,sarima,test,6098.000000000011,78.08969202141861,78.00000000000007,64.40735908772439,48.475969981734494,0.6882369857651841,0.4289757209074866
C,sarimax,train,82783.1388888887,287.72059170120014,280.3888888888886,2876.751855800815,179.31860780621614,3560.231867899586,-46.120986981957344
C,sarimax,validation,,,,,,,
C,sarimax,test,6098.000000000011,78.08969202141861,78.00000000000007,64.40735908772439,48.475969981734494,0.6882369857651841,0.4289757209074866
D,arima,train,117732.58333333333,343.1218199609773,195.72222222222223,234.09358326962803,173.96825396825398,14.740106630524817,-0.48230403187586357
D,arima,validation,,,,,,,
D,arima,test,2905375.1666666665,1704.5161092423464,1122.0,76.05976658333171,138.33464703471324,0.6679551258965871,-0.30625622430396393
D,sarima,train,117732.58333333333,343.1218199609773,195.72222222222223,234.09358326962803,173.96825396825398,14.740106630524817,-0.48230403187586357
D,sarima,validation,,,,,,,
D,sarima,test,2905375.1666666665,1704.5161092423464,1122.0,76.05976658333171,138.33464703471324,0.6679551258965871,-0.30625622430396393
D,sarimax,train,117732.58333333333,343.1218199609773,195.72222222222223,234.09358326962803,173.96825396825398,14.740106630524817,-0.48230403187586357
D,sarimax,validation,,,,,,,
D,sarimax,test,2905375.1666666665,1704.5161092423464,1122.0,76.05976658333171,138.33464703471324,0.6679551258965871,-0.30625622430396393
E,arima,train,1061.8333333333333,32.585784221548714,25.88888888888889,397.865253578598,133.7262430224789,53.92327060708346,0.0
E,arima,validation,,,,,,,
E,arima,test,448357.8333333333,669.5952757698738,416.3333333333333,329.2457283111488,197.8269954032595,19.7200688094335,-0.3920003849783251
E,sarima,train,1061.8333333333333,32.585784221548714,25.88888888888889,397.865253578598,133.7262430224789,53.92327060708346,0.0
E,sarima,validation,,,,,,,
E,sarima,test,448357.8333333333,669.5952757698738,416.3333333333333,329.2457283111488,197.8269954032595,19.7200688094335,-0.3920003849783251
E,sarimax,train,1061.8333333333333,32.585784221548714,25.88888888888889,397.865253578598,133.7262430224789,53.92327060708346,0.0
E,sarimax,validation,,,,,,,
E,sarimax,test,448357.8333333333,669.5952757698738,416.3333333333333,329.2457283111488,197.8269954032595,19.7200688094335,-0.3920003849783251
F,arima,train,111781.25000003343,334.337030554549,309.1666666667113,900.0000000001531,195.9595959595965,81.00000000002757,-409.62500000012284
F,arima,validation,,,,,,,
F,arima,test,28224.083333339775,168.0002480157091,161.1666666666845,2009.0909090911523,200.0,403.6446280992713,-1048.6559917357768
F,sarima,train,111781.25000003343,334.337030554549,309.1666666667113,900.0000000001531,195.9595959595965,81.00000000002757,-409.62500000012284
F,sarima,validation,,,,,,,
F,sarima,test,28224.083333339775,168.0002480157091,161.1666666666845,2009.0909090911523,200.0,403.6446280992713,-1048.6559917357768
F,sarimax,train,111781.25000003343,334.337030554549,309.1666666667113,900.0000000001531,195.9595959595965,81.00000000002757,-409.62500000012284
F,sarimax,validation,,,,,,,
F,sarimax,test,28224.083333339775,168.0002480157091,161.1666666666845,2009.0909090911523,200.0,403.6446280992713,-1048.6559917357768
G,arima,train,5559.361111111111,74.56112332248698,51.833333333333336,100.0,133.33333333333331,1.0,-0.9352614682447591
G,arima,validation,,,,,,,
G,arima,test,1.3333333333333333,1.1547005383792515,0.6666666666666666,100.0,66.66666666666666,1.0,-0.4999999999999998
G,sarima,train,5559.361111111111,74.56112332248698,51.833333333333336,100.0,133.33333333333331,1.0,-0.9352614682447591
G,sarima,validation,,,,,,,
G,sarima,test,1.3333333333333333,1.1547005383792515,0.6666666666666666,100.0,66.66666666666666,1.0,-0.4999999999999998
G,sarimax,train,5559.361111111111,74.56112332248698,51.833333333333336,100.0,133.33333333333331,1.0,-0.9352614682447591
G,sarimax,validation,,,,,,,
G,sarimax,test,1.3333333333333333,1.1547005383792515,0.6666666666666666,100.0,66.66666666666666,1.0,-0.4999999999999998
H,arima,train,69039.60581928409,262.75388830478624,217.36425717673814,287.27283697878454,152.12509184800024,17.636151236302453,-16.3957385490466
H,arima,validation,,,,,,,
H,arima,test,4016.163178141856,63.37320552206473,56.37085813270562,,200.0,,0.0
H,sarima,train,69039.60581928409,262.75388830478624,217.36425717673814,287.27283697878454,152.12509184800024,17.636151236302453,-16.3957385490466
H,sarima,validation,,,,,,,
H,sarima,test,4016.163178141856,63.37320552206473,56.37085813270562,,200.0,,0.0
